,desc,score,match_desc
3471,keedusalaami paruni nõo 0.09kg,1.0,nõo keedusalaami paruni 0.09kg
1773,kamapallid balsnack 0.15kg,1.0,balsnack kamapallid 0.15kg
1771,martsipan šokolaadis schluckwerder 0.1kg,1.0,schluckwerder martsipan šokolaadis 0.1kg
763,kohupiimakreem metsmaasika alma 0.15kg,1.0,alma metsmaasika kohupiimakreem 0.15kg
3983,õlu leffe blonde 6.6% 0.33l,1.0,leffe blonde õlu 6.6% 0.33l
1468,keefir täispiimast farmi 3.8-4.2% 1kg,1.0,farmi keefir täispiimast 3.8-4.2% 1kg
3478,kohupiimapannkoogid mamma 0.2kg,1.0,mamma kohupiimapannkoogid 0.2kg
5279,pudruriis veski mati 1kg,1.0,veski mati pudruriis 1kg
5271,kaste mango-tšilli felix 0.285kg,1.0,felix mango-tšilli kaste 0.285kg
1767,täisterakaerahelbed helen 0.5kg,1.0,helen täisterakaerahelbed 0.5kg
7637,viin viru valge 40% 0.35l,1.0,viru valge viin 40% 0.35l
1799,täispiimajogurt metsmaasika alma 0.35kg,1.0,alma täispiimajogurt metsmaasika 0.35kg
4559,salatikaste itaalia felix 0.375kg,1.0,felix itaalia salatikaste 0.375kg
5383,küpsetusõli olivia 1l,1.0,olivia küpsetusõli 1l
5478,juust gran regale valio 0.18kg,1.0,valio gran regale juust 0.18kg
5475,mandel kakaos tiramisu kalev 0.14kg,1.0,kalev tiramisu mandel kakaos 0.14kg
7596,gin saare gin 37.5% 0.5l,1.0,saare gin 37.5% 0.5l
5470,kanasigar juustuga tallegg 0.2kg,1.0,tallegg kanasigar juustuga 0.2kg
5464,veisehakkliha rakvere 0.3kg,1.0,rakvere veisehakkliha 0.3kg
3397,rulaad nõo viilutatud nõo 0.135kg,1.0,nõo rulaad viilutatud 0.135kg
3401,juust vene viilutatud estover 0.15kg,1.0,estover vene juust viilutatud 0.15kg
8880,whisky jameson irish 40% 0.7l,1.0,jameson irish whisky 40% 0.7l
708,sepik õnne eesti pagar 0.3kg,1.0,eesti pagar õnne sepik 0.3kg
3410,grillkaste felix 0.51kg,1.0,felix grillkaste 0.51kg
7619,sidrunipipar santa maria 0.3kg,1.0,santa maria sidrunipipar 0.3kg
1821,jogurt mango-banaani-chia gefilus 0.38kg,1.0,gefilus mango-banaani-chia jogurt 0.38kg
718,must vormileib eesti pagar 0.28kg,1.0,eesti pagar must vormileib 0.28kg
1817,keefirisai kaltsiumiga fazer 0.35kg,1.0,fazer keefirisai kaltsiumiga 0.35kg
1815,liha üldmaitseaine santa maria 0.07kg,1.0,santa maria liha üldmaitseaine 0.07kg
5419,tomatiketšup felix 0.5kg,1.0,felix tomatiketšup 0.5kg
723,müslibatoon jõhvika corny 0.05kg,1.0,corny müslibatoon jõhvika 0.05kg
4553,kommid fazer marianne 0.22kg,1.0,fazer marianne kommid 0.22kg
8674,whisky jameson irish 40% 0.5l,1.0,jameson irish whisky 40% 0.5l
3433,neljaviljahelbed täistera tartu mill 1kg,1.0,tartu mill täistera neljaviljahelbed 1kg
728,must rukkileib eesti pagar 0.39kg,1.0,eesti pagar must rukkileib 0.39kg
1162,joogijogurt maasika-kiivi activia 0.3kg,1.0,activia maasika-kiivi joogijogurt 0.3kg
5404,juust royal gouda black valio 0.2kg,1.0,valio juust royal gouda black 0.2kg
611,kohupiim vanilli alma 0.2kg,1.0,alma kohupiim vanilli 0.2kg
610,kohupiim rosina alma 0.2kg,1.0,alma rosina kohupiim 0.2kg
607,panna cotta vanilje farmi 0.15kg,1.0,farmi vanilje panna cotta 0.15kg
1981,koriander potis grüne fee,1.0,grüne fee koriander potis
3155,hapukapsaborš sealihaga salvest 0.53kg,1.0,salvest hapukapsaborš sealihaga 0.53kg
2003,sulatatud juust merevaik 0.2kg,1.0,merevaik sulatatud juust 0.2kg
3158,laastmakaronid nouilles fines panzani 0.5kg,1.0,panzani nouilles fines laastmakaronid 0.5kg
1201,hapukoor tere 20% 0.33kg,1.0,tere hapukoor 20% 0.33kg
1424,röst kaerajuuretisega leibur 0.28kg,1.0,leibur röst kaerajuuretisega 0.28kg
5840,pealinna paneeritud juust 0.2kg,1.0,pealinna paneeritud juust 0.2kg
5835,toorjuust piimameister otto 0.4kg,1.0,piimameister otto toorjuust 0.4kg
3164,makaronid farfalle panzani 0.5kg,1.0,panzani farfalle makaronid 0.5kg
5825,seljanka suitsuribilihaga salvest 0.53kg,1.0,salvest seljanka suitsuribilihaga 0.53kg
5824,aprikoosimoos põltsamaa 0.38kg,1.0,põltsamaa aprikoosimoos 0.38kg
4521,muffinipulber vilma 0.4kg,1.0,vilma muffinipulber 0.4kg
1980,hirsihelbed baltix 0.5kg,1.0,baltix hirsihelbed 0.5kg
8662,viin viru valge vägev 80% 0.5l,1.0,viru valge vägev viin 80% 0.5l
3174,mangonektar don simon 1l,1.0,don simon mangonektar 1l
5807,mustika broileripooltiivad rannamõisa 0.4kg,1.0,rannamõisa mustika broileripooltiivad 0.4kg
1978,piprasegu santa maria 0.025kg,1.0,santa maria piprasegu 0.025kg
1977,küüslaugupipar santa maria 0.03kg,1.0,santa maria küüslaugupipar 0.03kg
1976,tomatipasta salvest 0.3kg,1.0,salvest tomatipasta 0.3kg
519,puding vanilli alma 0.23kg,1.0,alma puding vanilli 0.23kg
1974,röstsepik täistera tosta eesti pagar 0.5kg,1.0,eesti pagar tosta täistera röstsepik 0.5kg
1971,till potis grüne fee,1.0,grüne fee till potis
5797,kohupiimataskud lõuna pagarid 0.25kg,1.0,lõuna pagarid kohupiimataskud 0.25kg
1969,petersell potis grüne fee,1.0,grüne fee petersell potis
5796,lasanjeplaadid barilla 0.5kg,1.0,barilla lasanjeplaadid 0.5kg
491,multinektar aura 0.33l,1.0,aura multinektar 0.33l
3153,makaronid conchiglie rigate panzani 0.5kg,1.0,panzani conchiglie rigate makaronid 0.5kg
5863,pastakaste napoletana tartu mill 0.34kg,1.0,tartu mill napoletana pastakaste 0.34kg
485,jahvatatud kaneel santa maria 0.022kg,1.0,santa maria kaneel jahvatatud 0.022kg
5961,tex mex dipikaste santa maria 0.25kg,1.0,santa maria tex mex dipikaste 0.25kg
2053,persillade santa maria 0.048kg,1.0,santa maria persillade 0.048kg
5958,pilaff põltsamaa 0.52kg,1.0,põltsamaa pilaff 0.52kg
8597,rumm bacardi carta blanca 37.5% 0.5l,1.0,bacardi carta blanca rumm 37.5% 0.5l
2046,punase karri maitseainesegu santa maria 0.032kg,1.0,santa maria punase karri maitseainesegu 0.032kg
8961,gin normindia 41.4% 0.7l,1.0,normindia gin 41.4% 0.7l
5937,mehhiko pada salvest 0.53kg,1.0,salvest mehhiko pada 0.53kg
5933,maasikamoos küllus 0.4kg,1.0,küllus maasikamoos 0.4kg
8960,gin tanqueray gin 43.1% 0.7l,1.0,tanqueray gin 43.1% 0.7l
5932,maasika-metsmustikamoos küllus 0.4kg,1.0,küllus maasika-metsmustikamoos 0.4kg
5931,kirsimoos küllus 0.4kg,1.0,küllus kirsimoos 0.4kg
458,täispiim alma 3.8-4.2% 0.5l,1.0,alma täispiim 3.8-4.2% 0.5l
8598,rumm bacardi carta negra 40% 0.5l,1.0,bacardi carta negra rumm 40% 0.5l
1419,kummikommid fazer tutti frutti choco 0.17kg,1.0,fazer tutti frutti choco kummikommid 0.17kg
467,jahvatatud paprika santa maria 0.022kg,1.0,santa maria paprika jahvatatud 0.022kg
2032,joogijogurt maasika-nektariini alma 0.9kg,1.0,alma joogijogurt maasika-nektariini 0.9kg
5900,kartulikrõpsud sibulamaitselised lay's 0.265kg,1.0,lay's kartulikrõpsud sibulamaitselised 0.265kg
2029,tom kha supisegu santa maria 0.03kg,1.0,santa maria supisegu tom kha 0.03kg
7885,juust forte classico valio 0.5kg,1.0,valio forte classico juust 0.5kg
2022,odrahelbed veski mati 0.5kg,1.0,veski mati odrahelbed 0.5kg
2021,kiirkaerahelbed veski mati 0.5kg,1.0,veski mati kiirkaerahelbed 0.5kg
1202,basiilik santa maria 0.006kg,1.0,santa maria basiilik 0.006kg
3127,salat toome salvest 0.52kg,1.0,salvest salat toome 0.52kg
525,peenleib isa leibur 0.355kg,1.0,leibur isa peenleib 0.355kg
3183,mandariinimahl don simon 1l,1.0,don simon mandariinimahl 1l
3187,broilerimaitseaine santa maria 0.09kg,1.0,santa maria broilerimaitseaine 0.09kg
8224,rabamurakamoos küllus 0.4kg,1.0,küllus rabamurakamoos 0.4kg
7527,juust oltermanni valio 0.5kg,1.0,valio oltermanni juust 0.5kg
3287,soolakurk küüslauguga 0.5kg,1.0,soolakurk küüslauguga 0.5kg
4050,kartul laheotsa 2kg,1.0,laheotsa kartul 2kg
5687,valgehallitusjuust brie president 0.2kg,1.0,president brie valgehallitusjuust 0.2kg
5686,täissuitsuvorst moskva nõo 0.25kg,1.0,nõo täissuitsuvorst moskva 0.25kg
3292,mahlajook aura fresh pirni-õuna 2l,1.0,aura fresh pirni-õuna mahlajook 2l
579,teratasku eesti pagar 0.28kg,1.0,eesti pagar teratasku 0.28kg
5684,suitsusink rakvere 0.35kg,1.0,rakvere suitsusink 0.35kg
582,kohvikoor alma 10% 0.38l,1.0,alma kohvikoor 10% 0.38l
1908,piim 1.8% tere 1.5l,1.0,tere piim 1.8% 1.5l
1904,muskaatpähkel santa maria 0.01kg,1.0,santa maria muskaatpähkel 0.01kg
5676,magus tšillikaste santa maria 0.585kg,1.0,santa maria magus tšillikaste 0.585kg
4037,eestimaine broileritiib tallegg kg,1.0,tallegg eestimaine broileritiib kg
5668,praekapsas porgandiga põltsamaa 0.82kg,1.0,põltsamaa praekapsas porgandiga 0.82kg
5663,mulgikapsad salvest 0.9kg,1.0,salvest mulgikapsad 0.9kg
5654,praekapsas põltsamaa 0.82kg,1.0,põltsamaa praekapsas 0.82kg
596,kohupiim 4% alma 0.2kg,1.0,alma kohupiim 4% 0.2kg
3315,kodujuust klassikaline piimameister otto 0.33kg,1.0,piimameister otto klassikaline kodujuust 0.33kg
5638,kanasupp fitlap põltsamaa 0.53kg,1.0,põltsamaa kanasupp fitlap 0.53kg
600,sinepiseemned santa maria 0.035kg,1.0,santa maria sinepiseemned 0.035kg
8659,brita tort gustav 0.9kg,1.0,gustav brita tort 0.9kg
3319,lapi leib kaeraga street food fazer 0.18kg,1.0,fazer street food lapi leib kaeraga 0.18kg
5635,kanasült fitlap nõo 0.3kg,1.0,nõo fitlap kanasült 0.3kg
1921,põrandaleib seemnetega must fazer 0.39kg,1.0,fazer must põrandaleib seemnetega 0.39kg
3250,vahvlid valge glasuuriga marmiton 0.15kg,1.0,marmiton valge glasuuriga vahvlid 0.15kg
4524,värskekapsaborš lihata põltsamaa 0.53kg,1.0,põltsamaa värskekapsaborš lihata 0.53kg
5732,rakvere chorizo 0.105kg,1.0,rakvere chorizo 0.105kg
3197,kartulimaitseaine santa maria 0.1kg,1.0,santa maria kartulimaitseaine 0.1kg
5790,juust royal gouda yellow valio 0.3kg,1.0,valio juust royal gouda yellow 0.3kg
5785,sojakaste sushi japanese choice 0.2l,1.0,japanese choice sushi sojakaste 0.2l
1429,neljaviljakrõbuskid balsnack 0.2kg,1.0,balsnack neljaviljakrõbuskid 0.2kg
3198,hakklihamaitseaine santa maria 0.08kg,1.0,santa maria hakklihamaitseaine 0.08kg
538,kreeka jogurt maitsestamata alma 0.18kg,1.0,alma maitsestamata kreeka jogurt 0.18kg
5780,viru sink rakvere 0.4kg,1.0,rakvere viru sink 0.4kg
3206,tšillipipar red hot helbed santa maria 0.028kg,1.0,santa maria tšillipipar red hot helbed 0.028kg
4528,mulgikapsad salvest 0.53kg,1.0,salvest mulgikapsad 0.53kg
1947,kiirkaerahelbed helen 0.5kg,1.0,helen kiirkaerahelbed 0.5kg
3217,juustusnäkid forte classico valio 0.1kg,1.0,valio forte classico juustusnäkid 0.1kg
549,puding karamelli alma 0.23kg,1.0,alma puding karamelli 0.23kg
5761,kohupiimarull eesti pagar 0.35kg,1.0,eesti pagar kohupiimarull 0.35kg
5759,cappuccino kook pagarini 0.22kg,1.0,pagarini cappuccino kook 0.22kg
1432,vanillisuhkur santa maria 0.02kg,1.0,santa maria vanillisuhkur 0.02kg
3229,vaniljesaiake eesti pagar 0.4kg,1.0,eesti pagar vaniljesaiake 0.4kg
5739,juust royal gouda red valio 0.25kg,1.0,valio juust royal gouda red 0.25kg
3231,salat tervist salvest 0.52kg,1.0,salvest salat tervist 0.52kg
3237,minikurk põltsamaa 330 0.19kg,1.0,põltsamaa minikurk 330 0.19kg
5733,juust atleet eesti viilutatud 0.5kg,1.0,eesti juust atleet viilutatud 0.5kg
8945,cognac hennessy vs cognac 40% 0.5l,1.0,hennessy vs cognac 40% 0.5l
8235,napoleoni kook eesti pagar 1.2kg,1.0,eesti pagar napoleoni kook 1.2kg
8234,liköör romanzero limoncello 25% 0.5l,1.0,romanzero limoncello liköör 25% 0.5l
5269,chunky salsa santa maria 0.23kg,1.0,santa maria chunky salsa 0.23kg
5249,toorsuitsuvorst rakvere 0.28kg,1.0,toorsuitsuvorst rakvere 0.28kg
5248,krakov valla 0.45kg,1.0,valla krakov 0.45kg
4889,jahimehesalat põltsamaa 0.55kg,1.0,põltsamaa jahimehesalat 0.55kg
8834,gin beefeater pink 37.5% 0.7l,1.0,beefeater pink gin 37.5% 0.7l
3885,kaste hiinapärane poolmagus felix 0.5kg,1.0,felix hiinapärane kaste poolmagus 0.5kg
8090,muu piiritusjook pipra kibe naps 35% 0.5l,1.0,pipra kibe naps muu piiritusjook 35% 0.5l
984,haputaina röst eesti pagar 0.43kg,1.0,eesti pagar haputaina röst 0.43kg
4910,paprikakaste felix 0.275kg,1.0,felix paprikakaste 0.275kg
4906,kurgikaste felix 0.275kg,1.0,felix kurgikaste 0.275kg
4679,bolognese kaste felix 0.49kg,1.0,felix bolognese kaste 0.49kg
4701,hernesupp suitsulihaga põltsamaa 0.53kg,1.0,põltsamaa hernesupp suitsulihaga 0.53kg
995,peenleib tallinna leibur 0.49kg,1.0,leibur tallinna peenleib 0.49kg
1111,maisitang veski mati 0.5kg,1.0,veski mati maisitang 0.5kg
4894,krõbedad ahjuvorstid rannarootsi 0.25kg,1.0,rannarootsi krõbedad ahjuvorstid 0.25kg
4888,ketšup salvest 1kg,1.0,salvest ketšup 1kg
938,lihamaitseaine tuline santa maria 0.02kg,1.0,santa maria tuline lihamaitseaine 0.02kg
1593,kummikommid fazer tutti frutti passion 0.18kg,1.0,fazer tutti frutti passion kummikommid 0.18kg
4884,kaste hiinapärane terav felix 0.5kg,1.0,felix terav hiinapärane kaste 0.5kg
1592,kummikommid fazer tutti frutti sour 0.18kg,1.0,fazer tutti frutti sour kummikommid 0.18kg
1007,sai kirde suur leibur 0.45kg,1.0,leibur suur kirde sai 0.45kg
1008,kaera pehmik eesti pagar 0.22kg,1.0,eesti pagar kaera pehmik 0.22kg
7763,must pipar jahvatatud santa maria 0.2kg,1.0,santa maria must pipar jahvatatud 0.2kg
1534,spordijook arctic sport power 0.75l,1.0,arctic sport power spordijook 0.75l
1108,riivsai tartu mill 0.4kg,1.0,tartu mill riivsai 0.4kg
3757,sealihasült oskar 0.33kg,1.0,oskar sealihasült 0.33kg
8086,rumm caribba negro 37.5% 0.5l,1.0,caribba negro rumm 37.5% 0.5l
3764,toorsuitsupeekon ameerikapärane rakvere 0.15kg,1.0,rakvere ameerikapärane toorsuitsupeekon 0.15kg
4926,küüslaugukaste felix 0.275kg,1.0,felix küüslaugukaste 0.275kg
975,nelk santa maria 0.01kg,1.0,santa maria nelk 0.01kg
3723,kurk magus salvest 675 0.36kg,1.0,salvest magus kurk 675 0.36kg
3721,praekapsas porgandiga salvest 0.53kg,1.0,salvest porgandiga praekapsas 0.53kg
3679,kaerajahu täistera veski mati 1kg,1.0,veski mati täistera kaerajahu 1kg
1631,neljaviljahelbed täistera tartu mill 0.5kg,1.0,tartu mill täistera neljaviljahelbed 0.5kg
942,sai perenaise suur eesti pagar 0.5kg,1.0,eesti pagar suur perenaise sai 0.5kg
3681,pastakaste ürtidega salvest 0.46kg,1.0,salvest pastakaste ürtidega 0.46kg
945,skyr kirssidega farmi 0.15kg,1.0,farmi kirssidega skyr 0.15kg
947,skyr mustikatega farmi 0.15kg,1.0,farmi mustikatega skyr 0.15kg
4944,makaroniroog salvest 0.53kg,1.0,salvest makaroniroog 0.53kg
3889,röstitud müsli puuviljadega sante 0.35kg,1.0,sante röstitud müsli puuviljadega 0.35kg
951,kummikommid haribo kuldkarud 0.1kg,1.0,haribo kuldkarud kummikommid 0.1kg
952,liha üldmaitseaine santa maria 0.035kg,1.0,santa maria liha üldmaitseaine 0.035kg
953,pitsamaitseaine santa maria 0.005kg,1.0,santa maria pitsamaitseaine 0.005kg
954,vürts santa maria 0.015kg,1.0,santa maria vürts 0.015kg
4662,biskviit eesti pagar 0.4kg,1.0,eesti pagar biskviit 0.4kg
4939,frikadellisupp põltsamaa 0.53kg,1.0,põltsamaa frikadellisupp 0.53kg
4938,sügisesalat põltsamaa 0.53kg,1.0,põltsamaa sügisesalat 0.53kg
3686,puder riisiga mamma 0.3kg,1.0,mamma puder riisiga 0.3kg
3708,pastakaste köögiviljadega salvest 0.46kg,1.0,salvest pastakaste köögiviljadega 0.46kg
964,skyr virsikutega farmi 0.15kg,1.0,farmi virsikutega skyr 0.15kg
4934,hapukapsaborš veiselihaga salvest 0.53kg,1.0,salvest hapukapsaborš veiselihaga 0.53kg
4932,toorjuust milka philadelphia 0.175kg,1.0,philadelphia toorjuust milka 0.175kg
4931,hernesupp sealihaga salvest 0.53kg,1.0,salvest hernesupp sealihaga 0.53kg
1617,tomatimahl heinz 0.29l,1.0,heinz tomatimahl 0.29l
3715,kanasupp mamma 0.3kg,1.0,mamma kanasupp 0.3kg
4865,pastakaste napoletana panzani 0.4kg,1.0,panzani pastakaste napoletana 0.4kg
8085,liköör vana tallinn eesti 100 40% 0.5l,1.0,vana tallinn eesti 100 liköör 40% 0.5l
1582,mitmevilja röstkukkel fazer 0.26kg,1.0,fazer mitmevilja röstkukkel 0.26kg
1572,nisujahu t-405 kalew 1kg,1.0,kalew nisujahu t-405 1kg
8828,rumm bacardi carta negra 40% 0.7l,1.0,bacardi carta negra rumm 40% 0.7l
1566,joogijogurt banaani-maasika alma 1kg,1.0,alma banaani-maasika joogijogurt 1kg
1063,must vormileib eesti pagar 0.6kg,1.0,eesti pagar must vormileib 0.6kg
1565,neljaviljahelbed helen 0.5kg,1.0,helen neljaviljahelbed 0.5kg
1564,pitsajahu tartu mill 0.4kg,1.0,tartu mill pitsajahu 0.4kg
1067,jogurt šokolaadirõngastega alma 0.15kg,1.0,alma šokolaadirõngastega jogurt 0.15kg
4806,cajuni maitseainesegu santa maria 0.034kg,1.0,santa maria cajuni maitseainesegu 0.034kg
3799,riis aurutatud baltix 1kg,1.0,baltix aurutatud riis 1kg
1071,keefir metsmaasika gefilus 0.3kg,1.0,gefilus metsmaasika keefir 0.3kg
3800,riisijahu veski mati 1kg,1.0,veski mati riisijahu 1kg
1073,keefir kama gefilus 0.3kg,1.0,gefilus kama keefir 0.3kg
3801,kaerakliid veski mati 0.7kg,1.0,veski mati kaerakliid 0.7kg
7787,kodujuustukook vaarika-mustika gustav 0.33kg,1.0,gustav vaarika-mustika kodujuustukook 0.33kg
3851,võileivakurk põltsamaa 460 0.24kg,1.0,põltsamaa võileivakurk 460 0.24kg
1555,kaeraküpsised krõbedad marmiton 0.15kg,1.0,marmiton krõbedad kaeraküpsised 0.15kg
4788,tatar tartu mill 1kg,1.0,tartu mill tatar 1kg
8068,mesi muhe 1.1kg,1.0,muhe mesi 1.1kg
4771,küpsetusõli kalew 1l,1.0,kalew küpsetusõli 1l
3832,kaste magushapu salvest 0.46kg,1.0,salvest kaste magushapu 0.46kg
4748,täissuitsuvorst eesti juustuga nõo 0.25kg,1.0,nõo eesti juustuga täissuitsuvorst 0.25kg
7802,viie pipra veski santa maria 0.06kg,1.0,santa maria viie pipra veski 0.06kg
1097,maisikepikesed vanillimaitselised mõngel 0.1kg,1.0,mõngel maisikepikesed vanillimaitselised 0.1kg
1094,apelsinimahl aura 1l,1.0,aura apelsinimahl 1l
1058,jogurtijook kreeka mango-maasika alma 0.275kg,1.0,alma mango-maasika kreeka jogurtijook 0.275kg
8083,rumm caribba blanco 37.5% 0.5l,1.0,caribba blanco rumm 37.5% 0.5l
4854,teraviljahelbed kakaoga oho 0.5kg,1.0,oho kakaoga teraviljahelbed 0.5kg
4735,toorjuust köögi farmi 0.4kg,1.0,farmi köögi toorjuust 0.4kg
4853,riis sõmer veski mati 1kg,1.0,veski mati sõmer riis 1kg
4726,šokolaadinööbid kalev 0.125kg,1.0,kalev šokolaadinööbid 0.125kg
1025,maksapasteet e-vaba oskar 0.2kg,1.0,oskar e-vaba maksapasteet 0.2kg
1029,seemneleib jassi eesti pagar 0.31kg,1.0,eesti pagar jassi seemneleib 0.31kg
1030,peenleib pealinna eesti pagar 0.49kg,1.0,eesti pagar pealinna peenleib 0.49kg
1031,võileivamääre hapukurgi-tilli farmi 0.15kg,1.0,farmi hapukurgi-tilli võileivamääre 0.15kg
1032,jogurtijook kreeka metsmaasika alma 0.275kg,1.0,alma metsmaasika kreeka jogurtijook 0.275kg
